,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
15,APOLLOTYRE,ASHOKLEY,0.0,0.53,0.46,194.46,-3.16,91.61837455830387
20,APOLLOTYRE,EXIDEIND,0.0,0.21,0.49,214.13,-3.59,100.88574793875149
55,EICHERMOT,BHARATFORG,0.0,2.72,0.23,27228.04,-3.03,112.58048243981906
57,HEROMOTOCO,BHARATFORG,0.0,0.66,0.23,3096.68,-3.34,105.57163555782834
65,EICHERMOT,BOSCHLTD,0.0,0.27,0.61,23909.61,-3.31,98.85968394155151
67,HEROMOTOCO,BOSCHLTD,0.0,0.05,0.61,2596.29,-3.54,88.51240092048072
78,EICHERMOT,M&M,0.0,3.0,0.23,26217.79,-3.24,108.40337559023213
81,EICHERMOT,TVSMOTOR,0.0,6.43,0.52,25297.99,-3.0,104.60025469911601
85,MRF,EXIDEIND,0.0,114.66,0.49,44090.55,-3.16,69.3263447043997
93,HEROMOTOCO,M&M,0.0,0.32,0.23,3277.21,-3.2,111.72624222279042
96,HEROMOTOCO,TVSMOTOR,0.0,1.12,0.52,2905.37,-3.03,99.04951845222878
